Player,Team,Nation,Position,Actual_Transfer_Value_M,Predicted_Transfer_Value_M
Ola Aina,Nott'ham Forest,NGA,DF,18.8,24.64
Jefferson Lerma,Crystal Palace,COL,MF,13.6,24.5
Tyrick Mitchell,Crystal Palace,ENG,DF,24.6,24.49
Tyler Adams,Bournemouth,USA,MF,24.4,24.4
Tosin Adarabioyo,Chelsea,ENG,DF,24.3,24.13
Raúl Jiménez,Fulham,MEX,FW,5.1,24.1
Alisson,Liverpool,BRA,GK,24.1,24.1
Calvin Bassey,Fulham,NGA,DF,29.9,24.06
Fabio Carvalho,Brentford,POR,FW,20.6,24.01
Andreas Pereira,Fulham,BRA,MF,19.0,23.95
Julian Araujo,Bournemouth,MEX,DF,14.3,23.91
Will Hughes,Crystal Palace,ENG,MF,11.1,23.84
Jakub Kiwior,Arsenal,POL,DF,25.0,23.8
Aaron Wan-Bissaka,West Ham,ENG,DF,26.9,23.79
Lewis Cook,Bournemouth,ENG,MF,19.3,23.76
Kostas Tsimikas,Liverpool,GRE,DF,23.6,23.6
Max Kilman,West Ham,ENG,DF,36.7,23.55
Neco Williams,Nott'ham Forest,WAL,DF,23.4,23.4
Leif Davis,Ipswich Town,ENG,DF,28.2,23.25
Yves Bissouma,Tottenham,MLI,MF,29.8,23.25
Tomáš Souček,West Ham,CZE,MF,23.2,23.2
Raheem Sterling,Arsenal,ENG,FW,17.5,23.18
Wilfred Ndidi,Leicester City,NGA,MF,20.3,22.92
Timothy Castagne,Fulham,BEL,DF,17.4,22.85
Toti Gomes,Wolves,POR,DF,18.6,22.74
Dean Henderson,Crystal Palace,ENG,GK,22.7,22.7
Emmanuel Agbadou,Wolves,CIV,DF,18.0,22.62
Jordan Pickford,Everton,ENG,GK,22.6,22.6
Kepa Arrizabalaga,Bournemouth,ESP,GK,12.0,22.4
Marcos Senesi,Bournemouth,ARG,DF,20.4,22.26
James Ward-Prowse,West Ham,ENG,MF,11.2,21.94
Jacob Greaves,Ipswich Town,ENG,DF,25.1,21.91
Keane Lewis-Potter,Brentford,ENG,DF,27.1,21.86
Ezri Konsa,Aston Villa,ENG,DF,42.7,21.8
Paul Onuachu,Southampton,NGA,FW,12.7,21.66
Harry Maguire,Manchester Utd,ENG,DF,13.7,21.51
Kristoffer Ajer,Brentford,NOR,DF,21.5,21.5
Caoimhín Kelleher,Liverpool,IRL,GK,20.9,20.9
Thiago,Brentford,BRA,FW,25.9,20.78
Axel Tuanzebe,Ipswich Town,COD,DF,4.2,20.64
Ben White,Arsenal,ENG,DF,58.8,20.57
José Sá,Wolves,POR,GK,8.5,20.39
Jack Hinshelwood,Brighton,ENG,DF,9.2,20.25
Ryan Yates,Nott'ham Forest,ENG,MF,18.3,20.16
Lucas Digne,Aston Villa,FRA,DF,13.6,20.14
Antonín Kinský,Tottenham,CZE,GK,20.0,20.0
Harry Wilson,Fulham,WAL,FW,14.5,19.95
Oliver Scarles,West Ham,ENG,DF,8.7,19.88
Jota Silva,Nott'ham Forest,POR,FW,17.4,19.82
Mads Hermansen,Leicester City,DEN,GK,19.8,19.8
Lesley Ugochukwu,Southampton,FRA,MF,27.0,19.59
Wout Faes,Leicester City,BEL,DF,25.0,19.55
Matt O'Riley,Brighton,DEN,MF,25.6,19.12
Ederson,Manchester City,BRA,GK,19.1,19.1
Emerson Palmieri,West Ham,ITA,DF,12.6,18.95
Eddie Nketiah,Crystal Palace,ENG,FW,24.8,18.93
Aaron Ramsdale,Southampton,ENG,GK,18.7,18.7
Kamaldeen Sulemana,Southampton,GHA,FW,18.5,18.66
Marshall Munetsi,Wolves,ZIM,MF,18.3,18.3
Albert Grønbaek,Southampton,DEN,FW,16.6,18.25
Axel Disasi,Aston Villa,FRA,DF,27.5,18.21
Niclas Füllkrug,West Ham,GER,FW,13.4,18.08
Abdoulaye Doucouré,Everton,MLI,MF,5.8,18.0
Jean-Clair Todibo,West Ham,FRA,DF,36.0,17.88
Luke Shaw,Manchester Utd,ENG,DF,17.5,17.65
Jack Taylor,Ipswich Town,IRL,MF,3.8,17.58
Emiliano Martínez,Aston Villa,ARG,GK,17.5,17.5
Jorginho,Arsenal,ITA,MF,5.3,17.47
Alphonse Areola,West Ham,FRA,GK,11.8,17.21
Lamare Bogarde,Aston Villa,NED,DF,6.0,17.15
James Mcatee,Manchester City,ENG,MF,19.8,17.03
Armando Broja,Everton,ALB,FW,18.6,16.99
Tyrone Mings,Aston Villa,ENG,DF,5.8,16.51
Matty Cash,Aston Villa,POL,DF,32.9,16.18
Ben Davies,Tottenham,WAL,DF,5.6,16.03
Marco Asensio,Aston Villa,ESP,MF,19.6,15.87
Álex Moreno,Nott'ham Forest,ESP,DF,11.0,15.79
Yukinari Sugawara,Southampton,JPN,DF,15.7,15.7
Thomas Partey,Arsenal,GHA,MF,15.2,15.2
Issa Diop,Fulham,FRA,DF,17.9,15.0
Mats Wieffer,Brighton,NED,MF,16.8,14.81
Sammie Szmodics,Ipswich Town,IRL,FW,14.1,14.78
Christian Eriksen,Manchester Utd,DEN,MF,4.2,14.75
Victor Lindelöf,Manchester Utd,SWE,DF,13.5,14.74
Taiwo Awoniyi,Nott'ham Forest,NGA,FW,20.2,14.54
Enes Ünal,Bournemouth,TUR,FW,16.4,14.39
Orel Mangala,Everton,BEL,MF,24.4,14.37
Kyle Walker-Peters,Southampton,ENG,DF,16.6,14.19
Jan Bednarek,Southampton,POL,DF,12.9,14.1
James Justin,Leicester City,ENG,DF,17.0,14.03
Ross Barkley,Aston Villa,ENG,MF,7.3,13.98
Nathan Patterson,Everton,SCO,DF,19.9,13.93
Jorge Cuenca,Fulham,ESP,DF,7.8,13.73
Bernd Leno,Fulham,GER,GK,13.7,13.7
Hwang Hee-chan,Wolves,KOR,MF,17.6,13.6
Mark Flekken,Brentford,NED,GK,13.6,13.6
